subject,subject_type,relation,object,object_type,confidence,frequency,weight,source_id,source_text
Hợp đồng vàng giao tháng 12,UNKNOWN,CÓ_GIÁ_TRỊ,3.606 USD,UNKNOWN,0.75,1,0.75,41,"Lúc 20h (ngày 4/9, giờ Việt Nam), giá vàng giao ngay ở mức 3.553 USD/ounce, tăng 0,4% so với đầu phiên. Hợp đồng vàng gi"
Tỷ lệ thất nghiệp được dự báo sẽ,UNKNOWN,TĂNG_TRƯỞNG,"4,3%",UNKNOWN,0.7,1,0.7,41,Thị trường đang chờ đợi báo cáo việc làm chính thức của Bộ Lao động Mỹ vào sáng thứ Sáu. Các nhà phân tích dự báo số việ
Trần Đăng,PERSON,LÃNH_ĐẠO,FPT,ORGANIZATION,0.8499000072479248,3,2.5497000217437744,43,"Ông Trần Đăng Hoà, Chủ tịch FPT IS, Tập đoàn FPT nhận xét Cổng 57 là ""nơi tập hợp hệ sinh thái Make in Vietnam được chọn"
SpaceX,ORGANIZATION,ĐẶT_TẠI,Philippines,LOCATION,0.75,1,0.75,48,"Starlink của Musk sở hữu khoảng 60% trong số khoảng 7.500 vệ tinh quay quanh trái đất, dẫn đầu lĩnh vực Internet vệ tinh"
TikTok,ORGANIZATION,ĐẶT_TẠI,Mỹ,LOCATION,0.7491000294685364,4,2.9964001178741455,9556,"Do các quan ngại về dữ liệu, Mỹ thông qua luật buộc ByteDance thoái vốn khỏi TikTok nếu không muốn bị cấm hoạt động tại "
Huỳnh Lê Đại,PERSON,LÃNH_ĐẠO,Công ty TNHH Đồ gỗ Nghĩa Sơn,ORGANIZATION,0.8499000072479248,2,1.6998000144958496,60,"Bên cạnh đó, để tối ưu chi phí vận chuyển qua TMĐT, các sản phẩm cần được thiết kế với khả năng tháo lắp thông minh, có "
Doanh thu TMĐT toàn cầu dự báo,UNKNOWN,CÓ_GIÁ_TRỊ,8.900 tỷ USD,UNKNOWN,0.75,1,0.75,60,"Ngành nội thất Việt Nam sẽ có chỗ đứng vững chắc trên TMĐT"", ông nhấn mạnh. Minh chứng là sau 4 năm bán hàng trên sàn TM"
Hồ Minh,PERSON,LÃNH_ĐẠO,công ty Trung Nam,ORGANIZATION,0.8499000072479248,1,0.8499000072479248,68,"Liên quan đến vấn đề này, ông Hồ Minh Đường, Giám đốc Ban điều hành công ty Trung Nam (đơn vị thi công), thông tin, quá "
VNPT đã,UNKNOWN,TĂNG_TRƯỞNG,"99,8%",UNKNOWN,0.7,1,0.7,75,"Bên cạnh việc cập nhật thông tin về tăng trưởng doanh thu, lợi nhuận, nộp ngân sách của tập đoàn trong 8 tháng đầu năm 2"
Sở Văn hóa và Thể thao TPHCM,ORGANIZATION,HỢP_TÁC,Chagee,ORGANIZATION,0.7936000227928162,1,0.7936000227928162,80,"Trước đó, hồi tháng 3, Sở Văn hóa và Thể thao TPHCM đã phối hợp với Công an thành phố làm việc với Công ty TNHH Chagee V"
Chagee,ORGANIZATION,HỢP_TÁC,Sở Văn hóa và Thể thao TPHCM,ORGANIZATION,0.7936000227928162,1,0.7936000227928162,80,"Trước đó, hồi tháng 3, Sở Văn hóa và Thể thao TPHCM đã phối hợp với Công an thành phố làm việc với Công ty TNHH Chagee V"
Châu Văn Minh,PERSON,LÃNH_ĐẠO,Viện Hàn lâm Khoa học và Công nghệ Việt,ORGANIZATION,0.8499000072479248,1,0.8499000072479248,82,"Ngày 21/8, Trung tâm Vũ trụ Việt Nam tổ chức lễ gắn biển và lễ khai trương Bảo tàng Vũ trụ Việt Nam tại Khu Công nghệ ca"
Huỳnh Quang,PERSON,LÃNH_ĐẠO,VNPT,ORGANIZATION,0.8499000072479248,1,0.8499000072479248,83,Hiện Viettel đang chiếm khoảng trên 50% thị phần dịch vụ di động và là doanh nghiệp có thị phần lớn nhất hiện nay tại Vi
NHNN,ORGANIZATION,THUỘC_NGÀNH,ngân hàng,INDUSTRY,0.7200000286102295,2,1.440000057220459,84,"Trước đó, các TCTD cũng cam kết giảm tới 2%/năm lãi suất cho vay đối với dư nợ hiện hữu của người dân và doanh nghiệp tạ"
Vietlott,ORGANIZATION,CÓ_GIÁ_TRỊ,410.452.000 đồng,MONEY,0.7411999702453613,1,0.7411999702453613,85,"Công ty Xổ số Điện toán Việt Nam (Vietlott) thông tin, trong kỳ quay số mở thưởng lần thứ 70 của loại hình xổ số tự chọn"
Đào Thu,PERSON,LÃNH_ĐẠO,Vieclam24h,ORGANIZATION,0.8489000201225281,1,0.8489000201225281,87,"AI đang thay đổi cục diện nhân sự ngành CNTT Nền tảng Vieclam24h của Siêu Việt Group mới đây đã công bố báo cáo ""Tóm lượ"
John Ciampaglia,PERSON,LÃNH_ĐẠO,Sprott Asset,ORGANIZATION,0.849399983882904,1,0.849399983882904,89,"Dự báo giá vàng John Ciampaglia, Tổng giám đốc của Sprott Asset Management, dự báo những bất ổn liên quan đến chính sách"
GPBank,UNKNOWN,TĂNG_TRƯỞNG,"0,36%/năm",UNKNOWN,0.7,1,0.7,92,"MBV và Vikki Bank bất ngờ giảm sâu lãi suất cho vay Trong số 25 nhà băng công bố số liệu, có tới 12 ngân hàng ghi nhận l"
BaoViet Bank,UNKNOWN,TĂNG_TRƯỞNG,"0,33%/năm",UNKNOWN,0.7,1,0.7,92,"MBV và Vikki Bank bất ngờ giảm sâu lãi suất cho vay Trong số 25 nhà băng công bố số liệu, có tới 12 ngân hàng ghi nhận l"
LPBank,UNKNOWN,TĂNG_TRƯỞNG,"0,31%/năm",UNKNOWN,0.7,1,0.7,92,"MBV và Vikki Bank bất ngờ giảm sâu lãi suất cho vay Trong số 25 nhà băng công bố số liệu, có tới 12 ngân hàng ghi nhận l"
PVCombank,UNKNOWN,TĂNG_TRƯỞNG,"0,3%/năm",UNKNOWN,0.7,1,0.7,92,"MBV và Vikki Bank bất ngờ giảm sâu lãi suất cho vay Trong số 25 nhà băng công bố số liệu, có tới 12 ngân hàng ghi nhận l"
VIB,UNKNOWN,TĂNG_TRƯỞNG,"0,27%/năm",UNKNOWN,0.7,1,0.7,92,"MBV và Vikki Bank bất ngờ giảm sâu lãi suất cho vay Trong số 25 nhà băng công bố số liệu, có tới 12 ngân hàng ghi nhận l"
ACB,UNKNOWN,TĂNG_TRƯỞNG,"0,22%/năm",UNKNOWN,0.7,1,0.7,92,"MBV và Vikki Bank bất ngờ giảm sâu lãi suất cho vay Trong số 25 nhà băng công bố số liệu, có tới 12 ngân hàng ghi nhận l"
Sacombank,UNKNOWN,TĂNG_TRƯỞNG,"0,1%/năm",UNKNOWN,0.7,1,0.7,92,"MBV và Vikki Bank bất ngờ giảm sâu lãi suất cho vay Trong số 25 nhà băng công bố số liệu, có tới 12 ngân hàng ghi nhận l"
Agribank,UNKNOWN,TĂNG_TRƯỞNG,"0,08%/năm",UNKNOWN,0.7,2,1.4,92,"MBV và Vikki Bank bất ngờ giảm sâu lãi suất cho vay Trong số 25 nhà băng công bố số liệu, có tới 12 ngân hàng ghi nhận l"
OCB,UNKNOWN,TĂNG_TRƯỞNG,"0,04%/năm",UNKNOWN,0.7,1,0.7,92,"MBV và Vikki Bank bất ngờ giảm sâu lãi suất cho vay Trong số 25 nhà băng công bố số liệu, có tới 12 ngân hàng ghi nhận l"
BVBank và KienlongBank,UNKNOWN,TĂNG_TRƯỞNG,"0,03%/năm",UNKNOWN,0.7,1,0.7,92,"MBV và Vikki Bank bất ngờ giảm sâu lãi suất cho vay Trong số 25 nhà băng công bố số liệu, có tới 12 ngân hàng ghi nhận l"
năm 2024,DATE,TĂNG_TRƯỞNG,"tăng 44,73%",PERCENT,0.699999988079071,1,0.699999988079071,93,"Vào thời điểm đó, AMEC cho biết điều này ""không có tác động bất lợi đáng kể"" đến tiến độ nghiên cứu và phát triển (R&D),"
NDT trong cùng kỳ do chi tiêu cho R&D,UNKNOWN,TĂNG_TRƯỞNG,"94,31%",UNKNOWN,0.7,1,0.7,93,"Tốcđộ tăng trưởng doanh thu hàng năm trong bốn năm qua trung bình là hơn 40%. Tuy nhiên, lợi nhuận ròng giảm 9,52% xuống"
FPT,ORGANIZATION,HỢP_TÁC,Chung Yuan Christian University,ORGANIZATION,0.7997000217437744,1,0.7997000217437744,99,"FPT vừa ký hợp tác với Chung Yuan Christian University (CYCU) - Đại học tư thục hàng đầu tại Đài Loan (Trung Quốc), nổi "
Chung Yuan Christian University,ORGANIZATION,HỢP_TÁC,FPT,ORGANIZATION,0.7997000217437744,1,0.7997000217437744,99,"FPT vừa ký hợp tác với Chung Yuan Christian University (CYCU) - Đại học tư thục hàng đầu tại Đài Loan (Trung Quốc), nổi "
CY Huang,PERSON,LÃNH_ĐẠO,FCC Partners,ORGANIZATION,0.8499000072479248,1,0.8499000072479248,99,"Phát biểu tại sự kiện, ông CY Huang - Chủ tịch FCC Partners cho biết: ""Thành quả hợp tác hiện nay giữa FCC Partners và F"
Trương Gia Bình,PERSON,LÃNH_ĐẠO,FPT,ORGANIZATION,0.8500000238418579,8,6.800000190734863,99,"Ông Trương Gia Bình - Chủ tịch FPT nhấn mạnh: ""Việt Nam có lợi thế lớn về nguồn nhân lực trẻ, đặc biệt trong các ngành b"
FPT,ORGANIZATION,HỢP_TÁC,FCC Partners Inc,ORGANIZATION,0.7998999953269958,1,0.7998999953269958,99,"Sự kiện này đồng thời thể hiện nỗ lực không ngừng của các bên trong việc thúc đẩy đổi mới sáng tạo, mở rộng giao lưu học"
FCC Partners Inc,ORGANIZATION,HỢP_TÁC,FPT,ORGANIZATION,0.7998999953269958,1,0.7998999953269958,99,"Sự kiện này đồng thời thể hiện nỗ lực không ngừng của các bên trong việc thúc đẩy đổi mới sáng tạo, mở rộng giao lưu học"
Huawei,ORGANIZATION,LIÊN_QUAN,Việt Nam,LOCATION,0.5,2,1.0,102,Huawei sẽ đưa smartphone cao cấp trở lại Việt Nam ngay trong năm 2026
Datuk Kamarudin Meranun,PERSON,LÃNH_ĐẠO,Capital A,ORGANIZATION,0.8497999906539917,1,0.8497999906539917,108,"Phát biểu tại lễ trao giải trong khuôn khổ Triển lãm Hàng không Paris 2025 diễn ra tại Pháp vào thứ Ba, ông Datuk Kamaru"
Tony Fernandes,PERSON,LÃNH_ĐẠO,Capital A,ORGANIZATION,0.8496999740600586,1,0.8496999740600586,108,"Dù đây là một thành tích tuyệt vời, chúng tôi không bao giờ tự mãn, và giải thưởng này sẽ tiếp tục là nguồn cảm hứng để "
Nguyễn Văn,PERSON,LÃNH_ĐẠO,Hội Thông tin Khoa học và Công nghệ Việt Nam,ORGANIZATION,0.849399983882904,1,0.849399983882904,113,"Sáng 18/3, tại Hà Nội đã diễn ra Đại hội đại biểu toàn quốc Hội Thông tin Khoa học và Công nghệ Việt Nam (VASTI) lần thứ"
Lê Thị Khánh Vân,PERSON,LÃNH_ĐẠO,Hội Thông tin Khoa học và Công nghệ Việt Nam,ORGANIZATION,0.8450000286102295,1,0.8450000286102295,113,"Trong cùng ngày, Hội Thông tin KH&CN Việt Nam đã ra mắt ban lãnh đạo nhiệm kỳ 2025-2030 với ông Trần Văn Tùng, nguyên Th"
VNPT,ORGANIZATION,HỢP_TÁC,Qualcomm,ORGANIZATION,0.800000011920929,2,1.600000023841858,118,Thử nghiệm tốc độ truyền dữ liệu thực tế vừa được VNPT phối hợp với Qualcomm tại Hà Nội sáng ngày 3/10. Với công nghệ XG
Qualcomm,ORGANIZATION,HỢP_TÁC,VNPT,ORGANIZATION,0.800000011920929,2,1.600000023841858,118,Thử nghiệm tốc độ truyền dữ liệu thực tế vừa được VNPT phối hợp với Qualcomm tại Hà Nội sáng ngày 3/10. Với công nghệ XG
năm 2021,DATE,TĂNG_TRƯỞNG,"tăng 13,46%",PERCENT,0.699999988079071,1,0.699999988079071,122,"Ở Ấn Độ, sự bùng phát của Covid-19 đã khiến người dân nhận thức rõ hơn về sự cần thiết của bảo hiểm, dẫn đến tổng phí bả"
Chung Bá,PERSON,LÃNH_ĐẠO,Công ty cổ phần TC Ad@@,ORGANIZATION,0.8449000120162964,1,0.8449000120162964,122,"Các ngân hàng, với lợi thế tiếp cận khách hàng, dữ liệu phong phú cùng tốc độ phát triển công nghệ thuộc hàng nhanh nhất"
GDP toàn cầu ước,UNKNOWN,CÓ_GIÁ_TRỊ,110 nghìn,UNKNOWN,0.75,2,1.5,130,Hãng thông tấn quốc gia Nga TASS dẫn lời luật sư Ivan Morozov cho biết các vi phạm khiến Google bị phạt 20 triệu tỷ tỷ t
Việt Nam,LOCATION,CÓ_GIÁ_TRỊ,"27,04 tỷ USD",MONEY,0.7444999814033508,1,0.7444999814033508,132,"Thanh Tin Tech giới thiệu các thiết bị kiểm tra tiên tiến và thiết bị phụ trợ hiệu quả, giúp các nhà sản xuất đảm bảo ch"
Dự kiến tăng trưởng xuất khẩu sẽ tiếp tục,UNKNOWN,TĂNG_TRƯỞNG,10%,UNKNOWN,0.7,1,0.7,132,"Thanh Tin Tech giới thiệu các thiết bị kiểm tra tiên tiến và thiết bị phụ trợ hiệu quả, giúp các nhà sản xuất đảm bảo ch"
Phạm tội chiếm đoạt tài sản,UNKNOWN,CÓ_GIÁ_TRỊ,500 triệu đồng,UNKNOWN,0.75,1,0.75,134,"Vay, mượn, thuê tài sản của người khác hoặc nhận được tài sản của người khác bằng hình thức hợp đồng và đã sử dụng tài s"
Trần Hữu Quyền,PERSON,LÃNH_ĐẠO,VNPT Technology,ORGANIZATION,0.8499000072479248,1,0.8499000072479248,137,"Ông Trần Hữu Quyền - Chủ tịch VNPT Technology - cảnh báo: ""Sau chính sách áp siêu thuế của Mỹ, có thể sẽ xảy ra làn sóng"
Tổng nguồn vốn huy động,UNKNOWN,TĂNG_TRƯỞNG,"52,26%",UNKNOWN,0.7,1,0.7,139,"hoạt động mua bán ngoại tệ, chuyển tiền ra nước ngoài. Theo kết luận thanh tra, cơ cấu tổ chức bộ máy của LPBank Đà Nẵng"
năm 2024,DATE,CÓ_GIÁ_TRỊ,3.140 tỷ đồng,MONEY,0.7404000163078308,1,0.7404000163078308,144,"Theo số liệu thống kê sơ bộ của Cục Thống kê, quy mô GRDP (Tổng sản phẩm trên địa bàn) theo giá hiện hành của tỉnh Vĩnh "
Vĩnh Phúc,LOCATION,CÓ_GIÁ_TRỊ,"1,3 triệu",MONEY,0.7498000264167786,1,0.7498000264167786,144,"Còn lĩnh vực nông lâm thuỷ sản, công nghiệp và xây dựng, dịch vụ chiếm cơ cấu áp đảo. Với Vĩnh Phúc, nông lâm thuỷ sản l"
năm 2024,DATE,CÓ_GIÁ_TRỊ,81 triệu,MONEY,0.75,1,0.75,144,"Còn lĩnh vực nông lâm thuỷ sản, công nghiệp và xây dựng, dịch vụ chiếm cơ cấu áp đảo. Với Vĩnh Phúc, nông lâm thuỷ sản l"
Phú Thọ,LOCATION,CÓ_GIÁ_TRỊ,"0,7 triệu",MONEY,0.7498999834060669,1,0.7498999834060669,144,"Tuy nhiên, mức này của Hoà Bình vẫn thấp hơn 33 triệu đồng so với mức bình quân của cả nước. Tương tự, GRDP bình quân đầ"
Vĩnh Phúc,LOCATION,CÓ_GIÁ_TRỊ,"16,3 tỷ USD",MONEY,0.7498000264167786,1,0.7498000264167786,144,"Xét về thu hút vốn đầu tư nước ngoài (FDI), năm 2023 Vĩnh Phúc có 28 dự án, số vốn đăng ký là 275,2 triệu USD; Phú Thọ c"
Nguyễn Quốc,PERSON,LÃNH_ĐẠO,GP Invest,ORGANIZATION,0.8499000072479248,1,0.8499000072479248,146,"Chinh phục công trình tầm cỡ Liên quan đến dữ liệu quốc gia về bất động sản, ông Nguyễn Quốc Hiệp, Chủ tịch HĐQT GP Inve"
UBND TP Hà Nội,ORGANIZATION,THUỘC_NGÀNH,y tế,INDUSTRY,0.7200000286102295,2,1.440000057220459,147,"Xác định nhiệm vụ chuyển đổi số còn gặp nhiều khó khăn, Phó Chủ tịch UBND TP Hà Nội đề nghị ngành y tế tiếp tục nghiên c"
Cục Thống kê,ORGANIZATION,HỢP_TÁC,FPT,ORGANIZATION,0.7998999953269958,1,0.7998999953269958,149,"Để giải quyết những thách thức này, Cục Thống kê đã lựa chọn hợp tác cùng Tập đoàn FPT triển khai Trợ lý ảo tra cứu thôn"
FPT,ORGANIZATION,HỢP_TÁC,Cục Thống kê,ORGANIZATION,0.7998999953269958,1,0.7998999953269958,149,"Để giải quyết những thách thức này, Cục Thống kê đã lựa chọn hợp tác cùng Tập đoàn FPT triển khai Trợ lý ảo tra cứu thôn"
Ngô Xuân Bách,PERSON,LÃNH_ĐẠO,FPT,ORGANIZATION,0.8499000072479248,1,0.8499000072479248,149,"Giải pháp này được kỳ vọng đặt nền móng cho số hóa toàn diện ngành thống kê Việt Nam, mở ra hướng đi mới trong quản lý d"
Bộ Công an,ORGANIZATION,HỢP_TÁC,Đại học Bách khoa Hà Nội,ORGANIZATION,0.7998999953269958,2,1.5997999906539917,154,"Trong khuôn khổ lễ phát động phong trào ""Bình dân học vụ số"" chiều nay tại Hà Nội, Bộ Công an phối hợp Đại học Bách khoa"
Đại học Bách khoa Hà Nội,ORGANIZATION,HỢP_TÁC,Bộ Công an,ORGANIZATION,0.7998999953269958,2,1.5997999906539917,154,"Trong khuôn khổ lễ phát động phong trào ""Bình dân học vụ số"" chiều nay tại Hà Nội, Bộ Công an phối hợp Đại học Bách khoa"
Mai,PERSON,LÃNH_ĐẠO,Mailisa,ORGANIZATION,0.8271999955177307,1,0.8271999955177307,160,"Bà chủ Mailisa bị thu giữ 100 sổ đỏ, nhiều siêu xe và hàng trăm nghìn USD Cơ quan Cảnh sát điều tra Bộ Công an vừa khởi "
Công an TPHCM,ORGANIZATION,HỢP_TÁC,VKSND,ORGANIZATION,0.7861999869346619,1,0.7861999869346619,160,"Thu giữ 80 sổ đỏ từ két sắt trong nhà Ngân 98 Liên quan đến vụ án ""Sản xuất, buôn bán hàng giả là thực phẩm"" do Võ Thị N"
VKSND,ORGANIZATION,HỢP_TÁC,Công an TPHCM,ORGANIZATION,0.7861999869346619,1,0.7861999869346619,160,"Thu giữ 80 sổ đỏ từ két sắt trong nhà Ngân 98 Liên quan đến vụ án ""Sản xuất, buôn bán hàng giả là thực phẩm"" do Võ Thị N"
Trump,PERSON,LÃNH_ĐẠO,Fed,ORGANIZATION,0.8500000238418579,24,20.399999618530273,163,"Trong bối cảnh hiện tại, lạm phát leo thang và căng thẳng địa chính trị là hai nguyên nhân chính khiến các ngân hàng tru"
Đức kể về bức thư tay,UNKNOWN,CÓ_GIÁ_TRỊ,2000 tỷ,UNKNOWN,0.75,1,0.75,169,Tập đoàn VNG bị phạt hơn 800 triệu; bầu Đức kể về bức thư tay trị giá 2000 tỷ
Việt Nam,LOCATION,TĂNG_TRƯỞNG,tăng 40%,PERCENT,0.699999988079071,1,0.699999988079071,172,"Tại sự kiện này, Viettel giới thiệu tổ hợp Robot Logistics thông minh là giải pháp tự động hóa hiện đại, giúp tối ưu hóa"
Samsung,ORGANIZATION,SẢN_XUẤT,Galaxy,PRODUCT,0.7799999713897705,5,3.9000000953674316,178,"Về chiếc iPhone màn hình gập đầu tiên của Apple, mẫu máy này được cho là sẽ có thiết kế gập kiểu cuốn sách, tương tự như"
Apple,ORGANIZATION,HỢP_TÁC,TSMC,ORGANIZATION,0.7739999890327454,1,0.7739999890327454,179,"Ông cũng chỉ ra một trong số những lỗ hổng lớn nhất là sản xuất, đặc biệt là bán dẫn, bên ngoài nước Mỹ và muốn Apple gi"
TSMC,ORGANIZATION,HỢP_TÁC,Apple,ORGANIZATION,0.7739999890327454,1,0.7739999890327454,179,"Ông cũng chỉ ra một trong số những lỗ hổng lớn nhất là sản xuất, đặc biệt là bán dẫn, bên ngoài nước Mỹ và muốn Apple gi"
SK Hynix,ORGANIZATION,CÓ_GIÁ_TRỊ,48 nghìn,MONEY,0.7350000143051147,1,0.7350000143051147,180,"Samsung Electronics - nhà sản xuất memory chip và smartphone lớn nhất thế giới - đang bị các đối thủ lớn, nhỏ, trong và "
Lê Văn Hoan,PERSON,LÃNH_ĐẠO,VDB,ORGANIZATION,0.8499000072479248,1,0.8499000072479248,183,"Đặc biệt, với việc ký kết Thỏa thuận hợp tác thu xếp vốn cho gần 80 dự án với tổng giá trị dự kiến vốn vay khoảng 105 ng"
AFD,ORGANIZATION,CÓ_GIÁ_TRỊ,50 triệu,MONEY,0.7196999788284302,1,0.7196999788284302,190,dần tiệm cận với tiêu chuẩn quốc tế về tài chính xanh và thực hiện lộ trình chuyển đổi thành Ngân hàng phát thải ròng bằ
Nguyễn Đình,PERSON,LÃNH_ĐẠO,Tổng Liên đoàn Lao động Việt,ORGANIZATION,0.8499000072479248,2,1.6998000144958496,192,"Phát biểu tại buổi lễ, ông Nguyễn Đình Khang, Chủ tịch Tổng Liên đoàn Lao động Việt Nam, cho biết giải thưởng Doanh nghi"
Tổng Liên đoàn Lao động Việt Nam,ORGANIZATION,HỢP_TÁC,Bộ Nội vụ,ORGANIZATION,0.7998999953269958,1,0.7998999953269958,192,"Phát biểu tại buổi lễ, ông Nguyễn Đình Khang, Chủ tịch Tổng Liên đoàn Lao động Việt Nam, cho biết giải thưởng Doanh nghi"
Bộ Nội vụ,ORGANIZATION,HỢP_TÁC,Tổng Liên đoàn Lao động Việt Nam,ORGANIZATION,0.7998999953269958,1,0.7998999953269958,192,"Phát biểu tại buổi lễ, ông Nguyễn Đình Khang, Chủ tịch Tổng Liên đoàn Lao động Việt Nam, cho biết giải thưởng Doanh nghi"
Ciampaglia,PERSON,LÃNH_ĐẠO,Sprott Asset Management,ORGANIZATION,0.8407999873161316,1,0.8407999873161316,193,"Dự báo giá vàng Như vậy, giá vàng đang trở lại xu hướng tăng như dự báo của nhiều tổ chức tài chính hàng đầu trên thế gi"
VGS,UNKNOWN,TĂNG_TRƯỞNG,"2,45%",UNKNOWN,0.7,1,0.7,209,"Tôn Hoa Sen (HSG) tăng gần 2,4% lên 17.350 đồng/cp; TVN tăng gần 2,8%; VGS tăng 2,45%... Bên cạnh HPG, các cổ phiếu trụ "
